,Method,YY_MM,Quantity of Units Issued,Quantity of Units,Rolling_Issuance,Rolling_Retirement,Balance,Retirement_Ratio
714,Fugitive Emiss.,13_04,75214.0,4955.0,7667972.0,1353840.0,6314132.0,0.17655776520832367
715,Fugitive Emiss.,13_05,0.0,400.0,7667972.0,1354240.0,6313732.0,0.17660993023970353
716,Fugitive Emiss.,13_06,3751.0,68870.0,7671723.0,1423110.0,6248613.0,0.1855007017328441
717,Fugitive Emiss.,13_07,0.0,114084.0,7671723.0,1537194.0,6134529.0,0.20037141591269653
718,Fugitive Emiss.,13_09,18777.0,285.0,7690500.0,1537479.0,6153021.0,0.19991925102399064
719,Fugitive Emiss.,13_11,15427.0,547197.0,7705927.0,2084676.0,5621251.0,0.2705289058668736
720,Fugitive Emiss.,13_12,0.0,10000.0,7705927.0,2094676.0,5611251.0,0.2718266082717887
721,Fugitive Emiss.,14_01,0.0,57248.0,7705927.0,2151924.0,5554003.0,0.2792556949994465
722,Fugitive Emiss.,14_02,0.0,49177.0,7705927.0,2201101.0,5504826.0,0.2856374061160974
723,Fugitive Emiss.,14_03,3747.0,231099.0,7709674.0,2432200.0,5277474.0,0.3154737800846054
724,Fugitive Emiss.,14_04,28854.0,7401.0,7738528.0,2439601.0,5298927.0,0.3152538829089977
725,Fugitive Emiss.,14_05,0.0,38935.0,7738528.0,2478536.0,5259992.0,0.3202852015266986
726,Fugitive Emiss.,14_06,47691.0,11745.0,7786219.0,2490281.0,5295938.0,0.3198318721834051
727,Fugitive Emiss.,14_07,0.0,109902.0,7786219.0,2600183.0,5186036.0,0.3339468103838333
728,Fugitive Emiss.,14_08,0.0,604.0,7786219.0,2600787.0,5185432.0,0.3340243833367646
729,Fugitive Emiss.,14_09,0.0,23335.0,7786219.0,2624122.0,5162097.0,0.3370213450199641
730,Fugitive Emiss.,14_10,84460.0,1213.0,7870679.0,2625335.0,5245344.0,0.33355889625278834
731,Fugitive Emiss.,14_11,0.0,203.0,7870679.0,2625538.0,5245141.0,0.33358468818255704
732,Fugitive Emiss.,14_12,25927.0,120181.0,7896606.0,2745719.0,5150887.0,0.3477087498097284
733,Fugitive Emiss.,15_01,0.0,3933.0,7896606.0,2749652.0,5146954.0,0.3482068118885506
734,Fugitive Emiss.,15_03,0.0,40898.0,7896606.0,2790550.0,5106056.0,0.353385998997544
735,Fugitive Emiss.,15_04,0.0,16674.0,7896606.0,2807224.0,5089382.0,0.35549753906931664
736,Fugitive Emiss.,15_05,0.0,81551.0,7896606.0,2888775.0,5007831.0,0.36582488729968293
737,Fugitive Emiss.,15_06,30519.0,0.0,7927125.0,2888775.0,5038350.0,0.36441648138511756
738,Fugitive Emiss.,15_07,26626.0,27451.0,7953751.0,2916226.0,5037525.0,0.36664788726727804
739,Fugitive Emiss.,15_08,0.0,40000.0,7953751.0,2956226.0,4997525.0,0.37167696097099345
740,Fugitive Emiss.,15_09,0.0,16808.0,7953751.0,2973034.0,4980717.0,0.37379017774129464
741,Fugitive Emiss.,15_10,0.0,1347.0,7953751.0,2974381.0,4979370.0,0.37395953179826724
742,Fugitive Emiss.,15_11,0.0,11440.0,7953751.0,2985821.0,4967930.0,0.37539784687752986
743,Fugitive Emiss.,15_12,24729.0,25737.0,7978480.0,3011558.0,4966922.0,0.37746011771665783
744,Fugitive Emiss.,16_01,0.0,3290.0,7978480.0,3014848.0,4963632.0,0.37787247696303056
745,Fugitive Emiss.,16_02,3290.0,52335.0,7981770.0,3067183.0,4914587.0,0.38427353832545913
